Date,Titres,Contents
2021-03-29 ,la concurrence féroce entre operateur… ,la concurrence féroce entre operateur internet  SFR  RED  Orange  Soch  Bouygues  Free continue au prix qui sera le plus bas.ATTENTION: ce sont des intoxications par phénomène d'annonce et tout est mensongerNE JAMAIS JAMAIS SOUSCRIRE UN ABONNEMENT PAR TELEPHONE C'EST UNE ESCROQUERIEPAR TELEPHONR TOUT EST DU BLUFF: ils vous propose un prix qui semble correct sur le marche et dans les faits dès a première facture reçue vous paierez de 20E à 30E de plus et ce plusieurs mois de suite. VOUS VENEZ D ETRE ESCROQUELe seul Opérateur sérieux ce jour après de nombreuses recherches est OVH Internet + Mobile à 20E/mois . FUYEZ LES AUTRES
2021-03-27 ,Problème d'internet ,Problème d'internet  j'ai appelé 3 fois le service client pour une solution. La 1ere fois on m'a expliqué que l'on ne pouvait rien pour moi si je ne pouvais donner le numéro de la ligne fixe avec laquelle j'appelais!? La 2e fois  ils ont commencé par me demander comment je savais que le problème venait d'internet et ils ont raccroché pendant la communication. La 3e   ils m'ont affirmé qu'ils allaient me rappeler et j'attends toujours... Dire que j'ai dû en plus payer pour contacter ce service client ! Je n'ai jamais vu un tel niveau de menfoutisme. Si c'est ça  fermez le service  faites des tutos en vidéo et faites des économies pour vous PAYER UN VRAI SERVICE CLIENT !!!! Payer 90€/mois pour cette prestation c'est une honte.
2021-03-27 ,Minable ,Minable ! Et encore je suis au dessus de la vérité !Non seulement un service est facturé sans qu’il ait été commandé mais cet opérateur n’est même pas capable de rembourser  il fait un avoir sur la facture suivante !Donc les « clients » pigeons avancent la trésorerie à cet usurier !
2021-03-27 ,Des incapables ,Des incapables ! Impossible d'obtenir le RIO d'une ligne résiliée  il y a 2 jours. Ils doivent m'envoyer une lettre sous 3 jours. Téléphone  sms  mail  il faut croire qu'on ne paie pas assez cher leur service pour avoir un résultat rapide. J'ai du appeler 4 numéros différents pour avoir cette réponse.
2021-03-27 ,Suite reclamation: NEANT ,J'ai adressé en recommandé une reclamation auprès d'Orange en décembre 2020 suite à un problème rencontré lors de l'installation de la fibre.J'attends toujours une réponse par écrit.Ils n'ont fait aucun geste commercial .Pas foutu de répondre à un courrier!!!!Je suis vraiment très déçue de leur prestation.J'irai voir ailleurs dès que l'occasion se présentera.Un conseil : réfléchissez bien avant de choisir Orange.Ne faites pas la même erreur que moi.
2021-03-26 ,Orange est devenu le wish des FAI ,Orange est devenu le wish des FAI   menteurs et voleurs. La seule chose qui fonctionne chez eux c'est le prélèvement.
2021-03-26 ,La tromperie de Orange ,Un technicien orange est venu chez moi sans rdv pour m'informer que je pouvais (même devais) faire brancher la fibre à mon domicile. Il m'a indiqué que cela ne modifierait pas le montant de mon abonnement ni mes options. En fait j'apprends que mon abonnement me coûtera 5€ de plus par mois et que mon option de 3 N° gratuits sur mon portable me couterait 2€ de plus par mois. Cela fait donc 7€ de plus par mois pour moins d'options. Le service réclamation a refusé de faire un geste commercial de 2€ par mois. N'est-ce pas honteux ?Est-ce comme cela qu'Orange compte garder ses clients (nous avons notre ligne fixe avec internet  3 forfaits portables et 1 ligne résidence secondaire chez Orange depuis au moins 10 ans) ?. Quel remerciement !   Et bien nous allons tout annuler  nous sommes sollicités par plusieurs concurrents  le choix ne manque pas.
2021-03-26 ,responsable clients est un hors la loi ,le directeur responsable client n a pas recu mon tip a payer debut janv 21 pour 2 mois janv et fev 21. alors il m a suspendu ma ligne a mon insu et tout dun coup vers fevrier il m envoie une mise en demeure sous 10j sans recommande AR comme point de depart de reception. je ne recois que 7 jours apres et je concerte au 3900. pas de probleme donc je renvoie la copie du tip. et pourtant il resilie ma ligne fixe et encaisse mon tip. orange est hors la loi : il faut lettre de relance dabord par rar (au 3900 on affirme davoir relancer 2 fois mais cest a lui de prouver car je n ai rien recu) et de meme mise en demeure en rar. de plus clause abusive il na pas le droit de suspendre 2 mois et encaisser mon tip. il y aura une mediation a bordeaux si echec mediation electronique et  si echec dommages et interets au greffier du tribunal. faites vous valoir vos droits svp. puis informer associationconsommateur comme si besoin informer aussi arcep ( a verifier) . ne vous laisser pas marcher sur vos pieds.  je vous conseille de faire comme je vais faire. inutile d insulter mais sachez que devant le tribunal d instance vous n avez pas besoin d avocat vous pouvez exposer quels articles du code civil (lois des contrats  clauses abusives..) vous gagnerez et faire plier ORANGE croyez moi. jesperes bienque le directeur sclients lit mon msg il verra qui je suis. soyez patients allez jussqu au bout car par exemple la mediation a bordeaux on attend sa reponse max 1 mois   le mediateur electronique <3 mois.
2021-03-26 ,1 étoile parce qu'on ne peut pas mettre… ,1 étoile parce qu'on ne peut pas mettre 0 (et ça n'a pas de sens d'ailleurs). Erreur de facturation de leur part  ils me promettent une déduction sur les deux prochaines factures depuis trois factures !!! Je suis à 69  euros prêt  pas cette mega entreprise. Bande d'escrocs ! Troisième appel (alors que je n'ai pas que ça à faire non plus hein  c'est pénible. En même temps je n'ai pas à faire les courses vu qu'il ne me reste que 0 87 euros pour finir le mois... voyons le bon côté des choses  namaste et je vais me nourrir d'Amour et d'eau fraîche  merci. ) et en plus on vous parle mal alors que vous prenez grave sur vous pour rester polie avec cette personne employée que vous ne vous vouliez pas accabler à la place de son entreprise ! Je rêve ! Tout part à vau-l'eau dans notre société...
2021-03-26 ,une bande d'abrutis qui ne savent faire… ,une bande d'abrutis qui ne savent faire qu'une seule chose prélever les factures tous les mois ! malheureusement les autres opérateurs ne valent pas mieux !
2021-03-26 ,Bande d’enc****!!! ,Bande d’enc**** ! 3 mois d’attente pour raccorder des logements au réseau et que des opérateurs qui raccroche aux nez  !!!!Aller au diable !
2021-03-26 ,Client PRO chez Orange : service déplorable ,Client PRO chez Orange  j'ai voulu acheter un nouveau smartphone sur leur site internet. Pourquoi sur internet ? Pour la simple raison qu'il n'y a plus d'agence à côté de chez moi  enfin si  à 45 minutes de route et que si on passe commande sur internet c'est moins cher (en tant que pro  grâce aux points bonus : +1500 points) .Bref je passe la commande (je ne parle pas de la difficulté rencontrée entre les pages pro et entreprise de leur site) pour un Samsung A42 5G. Au moment de la commande on me propose une assurance que je ne veux pas. Oui mais pour aller plus loin il semble nécessaire de cliquer sur cette assurance. J'arrive à passer l'étape  avec l'espoir de ne pas avoir pris cette assurance  et j'arrive à passer la commande. Mince c'est bizarre  il ne me demande pas comment je paie (peut-être un débit sur ma prochaine facture ?) et la commande est validée ? Je reçois un mail (ouf !). Je pense avoir toutes les infos dessus. Bah non seulement un mail (noreply !!!) qui me confirme bien la commande.Bon  très bien. Je vais cliquer sur le lien pour vérifier les infos de ma commande et notamment le paiement et là quelle surprise...rien  je n'ai aucune commande.J'essaye le chat en ligne  puis un numéro pro que l'on me donne et je tombe sur quelqu'un qui récite son texte et qui me dit que c'est normal  il faut du temps pour que cela soit traité (normal c'est du numérique c’est plus lent que l'humain). J'essaye de nouveau le lendemain et toujours la même chose. On me dit que dans les conditions générales c'est 12 jours ouvrés ! 12 jours pour voir apparaître ma commande sur leur site ? N'importe quel site marchand (à ce niveau là de taille d'entreprise) offre des suivis de commande où l'on voit a minima ce que l'on a commandé  les adresses de facturation/livraison et le mode de paiement.Ne vous fâchez pas monsieur  vous pourriez avoir votre téléphone d'ici 72h...On me dit 72h mais ils n'en savent rien car incapable d'avoir la moindre info sur ma commande. C'est quoi l'avantage du service PRO ? Bah d'avoir la confirmation que j'ai bien passé une commande  oui  oui  elle est là quelque part  mais où impossible à vous dire  il faut attendre.Orange se fiche de nous  client  et c'est déplorable ! Je pense que c'est la dernière fois que je m'engage pour 24 mois avec eux. J'irai voir ailleurs par la suite. En espérant que ce message puisse servir à d'autres personnes et puisse éventuellement servir à Orange pour changer sa politique client !!!!!!!!!
2021-03-25 ,Vraiment une super entreprise ! ,"Il faut attendre le 30 avril  nous-dit-on   pour que la Vowifi refonctionne sur certains Samsung   dont le mien ( un A41)   une histoire de logiciel Samsung pas au point   parait-il   jamais de leur faute toujours celle des autres . Résidant en zone blanche   j'ai acheté exprès ce Samsung compatible Vowifi chez boutique.Orange.fr pour pouvoir ainsi recevoir/envoyer sms   recevoir/envoyer appels de mon mobile de chez moi en passant par mon boitier Wifi (ou tout boitier wifi en dehors de chez moi d'ailleurs). Ces dysfonctionnements de la Vowifi pour les Samsung ne sont signalés nul part ni sur les innombrables pages du site d'Orange   ni sur le site de la boutique Orange où j'ai acheté mon Samsung A41 le 4 février dernier (après qu'un employé Orange au 3900 m'ait conseillé de prendre soit un iphone compatible soit un Samsung compatible pour cette vowifi ; il ne devait pas être au courant des problèmes rencontrés avec les Samsung je présume ! ) et ce n'est évidemment pas normal du tout   à l'opposé des règles de base d'une entreprise qui a le minimum d'égard et de respect pour sa clientèle . Il faut aller sur des forums Orange dédiés à la Vowifi pour constater les dégâts (forum où mes messages  indignés ont été maintes fois censurés)   constater que ces problèmes existent depuis 2019   qu'ils sont donc tout à fait connus par Orange depuis belle lurette mais qu' Orange n'en dit mot à  leurs clients lorsque ceux-ci achètent un Samsung compatible Vowifi  . Par contre de la pub pour vanter les mérites de la vowifi   çà     il y en a  sur le portail Orange.fr ( en plus ce site semble avoir été méticuleusement conçu afin que vous ayez le sentiment de parcourir une jungle ou une toile d'araignée   on a comme l'impression d'être tombé dans une souricière   avec une pléthore d'offres aux subtiles différences   aux contours flous avec des non-dits et omissions bien étudiés ) . Que la Vowifi marche ou pas   qu'elle ne marche pas en tous les cas pour  certains de ses clients dont je fais partie   cà c'est sûr   ce n'est pas le premier souci d'Orange apparemment   non non non    la priorité d'Orange  disposant d'une armée de vendeurs et conseillers à sa botte ayant mis pour beaucoup probité et moral au placard   c'est de ballader ses clients   d'employer tous les moyens possibles pour vendre au maximum de gens le plus de choses possibles le plus cher possible (sans exigence de fiabilité des techniques employées   sans soucis du contrat honoré ou pas pour le client)   des packs fibreux ou pas   le plus cher possible c'est mieux   des forfaits  bloqués  non bloqués  limités   pas limités    compatibles vowifi ou pas  le plus cher possible c'est mieux   des formules Pro pas pro   Pro c'est mieux car plus cher   des options rattachées aux différents packs existants afin d'espérer gratter   gratter   gratter   des options rattachées aux différents forfaits pour gratter gratter gratter encore un peu plus   ""des recharges à gogo on sait jamais cà peut rapporter gros""   des smartphones neufs ou reconditionnés compatibles Vowifi ou pas    le plus cher possible cà marche mieux  des protège-smartphones ""les plus chers c'est mieux ce sont les mieux jolis""  .... ! Que les contrats ne soient pas honorés   que les services soient en panne laissant la clientèle dans la panade  cela n'a pas l'air de bien les émouvoir   les délais de réparation sont scandaleusement longs   et la façon dont on est reçu au 3900 est bien trop souvent du grand n'importe quoi ."
2021-03-25 ,Bonjour  ,Bonjour Cela fait 2 semaines que le fil de connexion de ma fibre  a été  arraché par la tempête. A ce jour après beaucoup de promesses  je constate aucun résultat.L’assistance commerciale est très professionnelle  mais semble totalement impuissante face à l’incapacité de leur prestataire de réparer un fil arraché par le vent.En 2021  passer 15 jours sans internet  pour une panne aussi basique c’est de l’incompétence.On nous promet des passages de techniciens  des rappels de téléphoniques  mais rien  mais au pays des promesses on meurt de soif. Encore une fois on observe que l’ externalisation des services est toujours au détriment du service aux clients. Chez orange ils n’ont pas tout compris...
2021-03-25 ,Je suis cliente d’ORANGE (précédemment… ,Je suis cliente d’ORANGE (précédemment FRANCE TELECOM) depuis 42 ans avec actuellement un abonnement « mon optimale 2h ». Je souhaitais conserver cette ligne fixe analogique pour des raisons personnelles.Cette ligne est tombée en panne il y a plus de 2 mois et je ne m’en suis pas rendue compte tout de suite.Le 21 mars j’ai contacté ORANGE pour signaler la panne. Le service est efficace et 3 jours après la ligne est dépannée après l’intervention d’un technicien très compétent et particulièrement gentil.J’appelle ORANGE pour demander si la facturation des 2 mois d’interruption de ligne me sera remboursée. La conseillère m’indique alors qu’ils ont rempli leurs obligations  en effectuant la réparation dans les 48 heures donc pas de remboursement. J’appelle ensuite le service commercial et là aussi pas de geste commercial.J’ai donc résilié ma ligne ouverte en 1978. La conseillère s’en fichait complètement et s’est même un peu moquée de moi.Il semble qu’ORANGE ne tienne pas à conserver ses clients. Je viens de comprendre qu’ils souhaitent supprimer les lignes analogiques pour des raisons de coûts d’entretien et ma résiliation a bien dû les arranger.DOMMAGE car ils viennent de perdre un cliente fidèle de plus 40 ans  mais cela semble le dernier de leurs soucis ; chez ORANGE la fidélité ne paie pas. Bien évidemment je vais partager cette expérience avec tout mon entourage et déconseiller fortement de s’abonner chez ORANGE. Lorsque je vois le nombre de messages négatifs  je constate que je ne suis  pas la seule à être mécontente et ORANGE ne respecte pas ses clients.
2021-03-25 ,Des bon a rien juste là pour prendre l'argent au gens ,Depuis 6 mois on doit m installer la fibre   un coup les gars passent sans que je sois avertie et repartent sans avoir rien fait . La dernier fois en plus pas foutu de remettre la plaque part dessus le trou de 1 m heureusement que ma femme a vue car j'ai des enfants qui jouent dehors  dommage que j'étais pas là   par 5 fois un rdv a été pris pour activer la fibre et par 5 fois le rdv est annulé sans qu on m ait avertie alors que  ma femme  prends sa  journée a chaque fois avec une perte de salaire en tout de 400 euros . bref toujours pas de fibre et lorsqu on appel on nous sort le même charabia on nous ballade je paie quand même 150 euros avec tous les forfaits j estime mériter un minimum de respect ce qui n' est pas le cas . En plus les gars viennent de Paris a chaque fois mdr orange pas foutu d'avoir une équipe sur tours . dommage  que Orange a pas d'agence pour  la fibre pour que je puisse  me déplacer pour aller taper un scandale . Du coup pas de 6 ème intervention  je résilie chez eux quitte à se faire ballader autant payer moins cher ailleurs  ils ne sont pas professionnels et plutôt jean foutiste! Des bons a rien  juste là pour prendre l'argent au gens . Pour le dédommagement que je vais demander  ça à intérêt a'être a la hauteur des 400 euros de perte de salaire de ma femme car sinon on lance une procédure contre orange
2021-03-24 ,Connexion internet et assistance nulle ,Depuis une dizaine de jours notre connexion internet est lente  instable avec de fréquentes coupures. Un technicien est passé à deux reprises pour rétablir le réseau dans la rue mais les problèmes ressurgissent le lendemain. Nos voisins subissent les mêmes inconvénients depuis plusieurs mois  donc c'est bien un problème de réseau. Il n'y a qu'à voir les fils  embroussaillés dans la végétation  des poteaux rafistolés. Tout est vétuste et non entretenu. Pour faire avancer les choses je me connecte à l'assistance sur le site d'Orange qui me signale que c'est un problème de livebox. Impossible d'entrer dans le test  les mots et les images à associer ne correspondent pas! Finalement j'y arrive par un autre chemin  le système me met en contact par chat. La conseillère répond avec lenteur (elle aussi :-)) et veut me fait faire un reset de la livebox avec un bouton reset -qui n'existe pas! Je lui réponds que c'est un problème de réseau et là  elle disparaît. Je me demande ce que j'ai fait pour mériter autant d'incompétence ... sur toute la ligne.
2021-03-24 ,HELP ! QUI PEUT NOUS AIDER ? ,"Je m'occupe de ma grand-mère de 101 ans à mon domicile. Depuis le 10 Mars  la box ne fonctionne plus. Pour résumer  je n'ai pas arrêté de solliciter Orange pour que la panne soit réparée. Tous les jours on me balade ! C'est scandaleux  cela fait aujourd'hui 14 jours que ma grand-mère est sans tv  et surtout sans téléphone  alors que son assistance médicale ne peut fonctionner que par ce biais !!! Je pars travailler tous les jours en priant qu'il ne lui arrive rien durant mon absence. C'est HONTEUX. Je demande à parler à un responsable et je n'ai que le ""service commercial""..... Je ne sais plus quoi faire...."
2021-03-24 ,lamentable ,lamentable   installation de la fibreon vous donne deux mois de délais et finalement 4 mois d'annoncés on vous prête une airbox avec 200 go mais il faut rappeler toutes les 3 semaines pour ce faire recharger  il mettent48h voir plus pour recharger   résultat plus de télé plus d internet
2021-03-23 ,Catastrophique il n’y a pas d’autres… ,Catastrophique il n’y a pas d’autres mots. Nous étions chez Orange  beaucoup de coupure niveau box mais bon passons. Nous déménageons et là c’est le drame. Notre ligne devait être activée à une date fixée  le jour du rendez vous aucun technicien ne se déplace  le service client qui est LAMENTABLE nous dit qu’ils ne savent pas et qu’ils nous renverront un technicien la semaine prochaine. Donc une semaine sans nos services  et avec le télétravail je ne vous explique pas la galère pour pouvoir bosser. 1 semaine plus tard le technicien ne se déplace pas non plus. Je rappelle le service client qui me dit  qu’il y a des mises à jours à faire à distance  que tout sera ok demain. Le lendemain toujours rien  je rappelle et là une dame me dit que des travaux sont nécessaires et que notre ligne sera active dans 2 semaines et me sort « Il faut être compréhensive madame » pardon? Là je craque c’est la goutte de trop  le service client le plus inutile que j’ai vu de ma vie. Faut pas s’étonner qu’orange ne soit pas sur le podium de la relation client  c’est une réelle catastrophe  une honte pour une boite aussi connue. Du coup j’ai quitté Orange et je vous assure que j’en fais une très mauvaise éloge autour de moi.
2021-03-23 ,installation prévu le 24 mars  la… ,installation prévu le 24 mars  la veille orange envoi un simple sms  installation reporté au 25 mai  aucune explication malgré leur engagement écrit !!  a fuir absolument   !!!!
2021-03-22 ,Ca fait 5jours que Orange a fait… ,"Ca fait 5jours que Orange a fait l'installation chez moi  toujours pas de Tele et le message disait que je n'ai pas droit d'accès. Depuis jeudi (ou on m'a dit qu'on m'a appelé pour vérifier (mensonge) jusqu'aujourd'hui  j'ai déjà appelé 17 fois. La réponse je monte votre dossier  chez l'expert  tout est en ordre  vous verrez en rentrant  ou tout simplement on me raccroche au nez. Quel de boîte  c'est??? Mais demain je résilie tout  j""ai dejà perdu une demi journée jeudi  une demi journée samedi et quoi encore. Sont ils tous incompétants?? On peut pas parler à un responsable car( nous sommes en tele travail) on prend les gens pour les imbeciles"
2021-03-22 ,A fuir ..... ,Un prestataire qui n'a qu'une préoccupation fuir àtoiute vitesse  sans installation à domicile alors qu'en pro ça coute une fortune.Et qu'une commerciale vous affirme que vous payez cher mais que le service sera à la hauteur.C'est le technicien qui fait l'évaluation du service rendu  tout est bien alors que ça ne fonctionne pas.Centre d'appel situé au Maroc  vive Orange. Entreprise nulle.
2021-03-22 ,j’ai souscrit à un forfait il y a… ,j’ai souscrit à un forfait il y a maintenant plus d’une semaine  j’ai pris ma journée parce qu’il fallait que j’attende un technicien vu qu’il y avait un souci  un technicien devait venir entre huit heures et 13 heures  j’ai été dans l’obligation de prendre une journée et personne n’est venu  je trouve ça inadmissible de faire perdre du temps aux gens et de l’argent en passant. Je paye pour une prestation je suis quand même en droit d’avoir des résultats  je ne recommande pas du tout !!!!! Je n’ai jamais été chez Orange il n’y retournerai plus
2021-03-22 ,La fibre ,"Très compétent pour vendre un abonnement fibre  incapable de valider une ligne fixe sur box fibre. Délai de livraison non respecté  promesses du service technique non tenues. Responsable technique incapable de donner des réponses à ma demande et qui ne donne que son prénom (c'est plus anonyme).Peut-être a-t-il été formé à dire ""je ne sais pas""  c'est la seule réponse fournie."
2021-03-21 ,De la daube ,De la daube   21 éme siècle et internet est éclater dans les campagnes françaises une honte pour un pays développer !
2021-03-20 ,Le site ne réponds pas ,Le site ne réponds pas  je n'ai plus accès a mon adresse mail  de plus je ne trouve aucune information a ce sujet sur internet  les serveurs semble HS..Je tiens a préciser que tout fonctionne correctement chez moi internet fibre chez bouygues.Service des années 2000  problème sur problème  j'aimerais pouvoir accédez a mes mails de nouveaux  faites un signe de vie
2021-03-19 ,Bonjour  ,Bonjour Je viens de lire les avis ben pas chouette.Je fais partie des personnes qui ce sont bien fait avoir.Car il y a 1an je suis parti de chez orange et on m'a réglamé de l'argentCOMME dit si bien un monsieur qui à laissé un avis alors huissier justice si je ne règle pas ma facture.Vu que cela fait 1AN que la comédie dure alors j'ai payé j'aurais mieux fait de lire les avis avantSurtout que j'ai céder mon contrat et que tout à été fait dans les temps j'ai fait des recommandé avec preuves à l'appui orange à rien voulu savoir ils m'ont mis au contentieux.Et que j'avais 72h00 pour payer car après c'était la justice qui allait être saisi et que la encore ce serait à moi à payer.Alors comme dis si bien le monsieur qui à laissé un avis ils savent très très bien faire peur aux gens.Mais je ne leur fais pas de publicité car mes papiers avait été faits en tant et en heure.Je suis partie de chez orange et je ne regrette pas.EscroquerieMais la facture est très saléJe ne recommande surtout pas orange.Les autres opérateurs ne doivent pas être mieux.Sais une honte de faire cela.Au bout tant d'années.Et voilà encore une ex cliente pas contente.
2021-03-19 ,INADMISSIBLE ,Prise d’un RDV aujourd’hui entre 13h-18h. Perosnne n’est venu ! Soit disant qu’ils m’ont appelé et que je n’ai pas répondu ! Bizarre aucun appel sur mon portable !
2021-03-19 ,Bonjour ,Bonjour   depuis 3 ans que des ennuis avec orange . il y a 3 ans   si si prenez orange Bank vous allez 80 euros . que du Bla Bla . j ai perdu de l argent merci les supers conseillers ieres ( blagues). deux ans   je change de portable ah ah le portable défectueux ( ma faute mdr)je change encore de l argent pour orange . deux ans offres de free grr faut payé pour partir de chez orange grrr .et le changement de portable 250 euros . ah oui quand même . et maintenant problème de télécommande et quand même rendu a 3 décodeurs tv trop fort et bien sur je paye toujours mes factures . et la derniers une facture de 16 euros pourquoi ??? moi je ne sais plus quoi faire avec orange . entre les conseillers tres mauvais et super compliquer d avoir une personne compétente au téléphone . vraiment plus de solutions ?? que faire ??
2021-03-18 ,Ce sera un avis négatif de plus ,Ce sera un avis négatif de plus  j'ai souscrit un contrat chez Orange en fibre car il est impossible de souscrire un contrat cuivre hors depuis 2 mois Orange est incapable de raccorder au réseau  il se sont déplacés 2 fois pour rien  au téléphone  ce ne sont que des renseignements contradictoires  pire je reçois un SMS m'indiquant que l'annulation de ma demande fibre est bien prise en compte alors que je n'ai rien demandé de ce genre  j'ai fait un courrier recommandé au service client à Bordeaux qui est resté sans réponse.C'est incroyable de voir autant d'incompétence et de désinvolture  fuyez cet opérateur et êtes vous prêt à monter un collectif pour dénoncer leur agissements
